[2026-08-29T11:48:08.350Z] GET http://localhost:5173/src/utils/cn.ts → 304 (2ms, ?B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/src/store/auth.ts → 304 (1ms, ?B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/node_modules/.vite/deps/lucide-react.js?v=0800514d → 200 (?ms, 4192246B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/src/features/auth/services/auth.service.ts?t=1788004076928 → 304 (2ms, ?B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/src/components/ui/avatar.tsx?t=1788004076928 → 304 (2ms, ?B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/src/components/ui/back-button.tsx → 304 (2ms, ?B)
[2026-08-29T11:48:08.351Z] GET http://localhost:5173/src/components/brand/logo.tsx → 304 (3ms, ?B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/src/features/site/hooks/use-site.ts?t=1788004076928 → 304 (2ms, ?B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/node_modules/.vite/deps/zustand.js?v=4286093b → 200 (?ms, 6027B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/node_modules/.vite/deps/zustand_middleware.js?v=b671f987 → 200 (?ms, 48350B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/src/utils/jwt.ts → 304 (2ms, ?B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/node_modules/.vite/deps/clsx.js?v=61ebd024 → 200 (?ms, 1992B)
[2026-08-29T11:48:08.352Z] GET http://localhost:5173/node_modules/.vite/deps/tailwind-merge.js?v=2b23c8e9 → 200 (?ms, 286826B)
[2026-08-29T11:48:08.353Z] GET http://localhost:5173/src/services/api.ts?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:08.354Z] GET http://localhost:5173/src/features/site/services/site.service.ts?t=1788004076928 → 304 (?ms, ?B)
[2026-08-29T11:48:08.354Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=85e7fe5a → 200 (?ms, 434913B)
[2026-08-29T11:48:08.523Z] GET http://localhost:5173/logo-mark.png → 304 (?ms, ?B)
[2026-08-29T11:48:08.523Z] GET http://localhost:5173/src/features/site/pages/public/plans.tsx → 200 (1ms, 13494B)
[2026-08-29T11:48:08.523Z] GET http://localhost:5023/api/public → 200 (1ms, 2727B)
[2026-08-29T11:48:08.525Z] GET http://localhost:5173/src/features/site/hooks/use-document-title.ts → 304 (2ms, ?B)
[2026-08-29T11:48:08.526Z] GET http://localhost:5173/src/features/site/components/site-primitives.tsx?t=1788004076928 → 304 (1ms, ?B)
[2026-08-29T11:48:08.526Z] GET http://localhost:5173/src/features/site/components/site-cards.tsx → 200 (7ms, 28209B)
[2026-08-29T11:48:08.526Z] GET http://localhost:5173/src/features/site/components/site-states.tsx → 304 (1ms, ?B)
[2026-08-29T11:48:08.528Z] GET http://localhost:5173/src/components/ui/button.tsx → 304 (?ms, ?B)
[2026-08-29T11:48:08.528Z] GET http://localhost:5173/node_modules/.vite/deps/class-variance-authority.js?v=4b24413a → 200 (?ms, 8901B)
